ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,STEV_UCENCEV,DOGODEK,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2020-10-02,2020-10-08,2020-10-01,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Osnovna šola Ivana Cankarja Vrhnika,Osnovna šola Ivana Cankarja Vrhnika,Osrednjeslovenska,Vrhnika,2020-10-01,2020-10-07,2020-10-01,OSNOVNA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Gorenjska,Bohinj,2020-09-25,2020-10-05,2020-10-02,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Osnovna šola Dušana Muniha Most na Soči,Osnovna šola Dušana Muniha Most na Soči,Goriška,Tolmin,2020-09-30,2020-10-04,2020-10-02,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Osnovna šola Dušana Muniha Most na Soči,Osnovna šola Dušana Muniha Most na Soči,Goriška,Tolmin,2020-09-30,2020-10-04,2020-10-02,OSNOVNA ŠOLA,srednje,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Gimnazija Šiška,Gimnazija Šiška,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-04,2020-10-02,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Ekonomska gimnazija in srednja šola Radovljica,Ekonomska gimnazija in srednja šola Radovljica,Gorenjska,Radovljica,2020-09-22,2020-10-02,2020-10-02,SREDNJA ŠOLA,veliko,"Pouk poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",Sum na okužbo s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-08,2020-10-02,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Osnovna šola Ivana Groharja,Osnovna šola Ivana Groharja,Gorenjska,Škofja Loka,2020-09-30,2020-10-09,2020-10-02,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_40
Center za sluh in govor Maribor,"Center za sluh in govor Maribor, OE Osnovna šola in vrtec",Podravska,Maribor,2020-09-29,2020-10-08,2020-10-02,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_40
Srednja zdravstvena in kozmetična šola Celje,Srednja zdravstvena in kozmetična šola Celje,Savinjska,Celje,2020-09-30,2020-10-09,2020-10-02,SREDNJA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-09-30,2020-10-09,2020-10-02,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Srednja ekonomska šola Ljubljana,Srednja ekonomska šola Ljubljana,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-10,2020-10-02,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Šolski center Celje,"Šolski center Celje, Srednja šola za strojništvo, mehatroniko in medije",Savinjska,Celje,2020-09-30,2020-10-09,2020-10-02,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,srednje,2020_40
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-09-16,2020-09-20,2020-10-03,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Vrtec Zarja Celje,"Vrtec Zarja Celje, ENOTA RINGA RAJA",Savinjska,Celje,2020-09-01,2020-09-10,2020-10-03,VRTEC,malo,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2020_40
Osnovna šola Ledina,Osnovna šola Ledina,Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-10,2020-10-03,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učitelju,srednje,2020_40
Osnovna šola Veržej,Osnovna šola Veržej,Pomurska,Veržej,2020-10-05,2020-10-08,2020-10-03,OSNOVNA ŠOLA,malo,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
Osnovna šola Škofljica,Osnovna šola Škofljica,Osrednjeslovenska,Škofljica,2020-09-30,2020-10-09,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Vrtec Čebelica Šentjernej,Vrtec Čebelica Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-10-05,2020-10-15,2020-10-04,VRTEC,srednje,Otroci oddelka so v domači karanteni,Okužba s Covid-19 pri vzgojitelju,srednje,2020_40
Osnovna šola Majde Vrhovnik Ljubljana,Osnovna šola Majde Vrhovnik Ljubljana,Osrednjeslovenska,Ljubljana,2020-09-29,2020-10-08,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-09,2020-10-04,SREDNJA ŠOLA,veliko,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,kratko,2020_40
Osnovna šola Franceta Bevka,Osnovna šola Franceta Bevka,Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-10,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,srednje,2020_40
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-10-05,2020-10-10,2020-10-04,OSNOVNA ŠOLA,srednje,Karantena za celoten oddelek - pouk poteka na daljavo,Okužba s Covid-19 pri učencu ali več učencih oddelka,kratko,2020_40
