VNOS,REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
2021-01-25,Vzhodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,kratko trajanje
2021-01-25,Vzhodna Slovenija,GLASBENA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-01-25,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-25,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-25,Severna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-25,Zahodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-25,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-25,Severna Slovenija,OSNOVNA ŠOLA,malo,Okužba pri delavcu,srednje trajanje
2021-01-25,Vzhodna Slovenija,VRTEC,zelo malo,Sum na okužbo pri delavcu,srednje trajanje
2021-01-25,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-26,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-26,Vzhodna Slovenija,VRTEC,zelo malo,Sum na okužbo pri delavcu,srednje trajanje
2021-01-26,Severna Slovenija,OSNOVNA ŠOLA,malo,Sum na okužbo pri delavcu,srednje trajanje
2021-01-26,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-26,Osrednja Slovenija,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-01-26,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-26,Osrednja Slovenija,VRTEC,zelo malo,Okužba pri delavcu,kratko trajanje
2021-01-26,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-26,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-27,Zahodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-27,Zahodna Slovenija,OSTALO,zelo malo,Okužba pri delavcu,kratko trajanje
2021-01-27,Zahodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,kratko trajanje
2021-01-27,Osrednja Slovenija,OSNOVNA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-01-27,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-27,Zahodna Slovenija,OSNOVNA ŠOLA,veliko,Sum na okužbo pri delavcu,srednje trajanje
2021-01-27,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,kratko trajanje
2021-01-27,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-27,Osrednja Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-27,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-27,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-01-27,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-27,Zahodna Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-01-28,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-28,Severna Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-28,Osrednja Slovenija,VRTEC,srednje,Okužba pri delavcu,srednje trajanje
2021-01-28,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-28,Vzhodna Slovenija,VRTEC,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-28,Severna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-28,Vzhodna Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Osrednja Slovenija,VRTEC,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Osrednja Slovenija,OSTALO,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Zahodna Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Severna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Zahodna Slovenija,VRTEC,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Zahodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Vzhodna Slovenija,OSNOVNA ŠOLA,zelo malo,Sum na okužbo pri delavcu,kratko trajanje
2021-01-29,Severna Slovenija,OSNOVNA ŠOLA,malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Osrednja Slovenija,OSNOVNA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Zahodna Slovenija,VRTEC,zelo malo,Sum na okužbo pri delavcu,kratko trajanje
2021-01-29,Osrednja Slovenija,VRTEC,malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Zahodna Slovenija,OSTALO,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Zahodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri otroku / učencu / dijaku,srednje trajanje
2021-01-29,Osrednja Slovenija,OSTALO,malo,Okužba pri delavcu,srednje trajanje
2021-01-29,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Okužba pri delavcu,srednje trajanje
2021-01-30,Vzhodna Slovenija,OSNOVNA ŠOLA,zelo malo,Okužba pri delavcu,srednje trajanje
2021-01-30,Osrednja Slovenija,OSNOVNA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,srednje trajanje
