ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Braslovče,Osnovna šola Braslovče,Savinjska,Braslovče,2020-09-17,2020-10-06,2020-10-01,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_40
Osnovna šola Selnica ob Dravi,"Osnovna šola Selnica ob Dravi, enota Vrtec",Podravska,Selnica ob Dravi,2020-09-30,2020-10-09,2020-10-01,VRTEC,Sum na okužbo,srednje,2020_40
VIZ II. OŠ Rogaška Slatina,VIZ II. OŠ Rogaška Slatina,Savinjska,Rogaška Slatina,2020-09-30,2020-10-04,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-09-29,2020-10-08,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2020-09-25,2020-10-03,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Gimnazija Litija,Gimnazija Litija,Zasavska,Litija,2020-09-29,2020-10-09,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Glasbena šola Hrastnik,Glasbena šola Hrastnik,Zasavska,Hrastnik,2020-09-28,2020-10-06,2020-10-01,GLASBENA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja elektro-računalniška šola Maribor,Srednja elektro-računalniška šola Maribor,Podravska,Maribor,2020-09-30,2020-10-10,2020-10-01,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
III. gimnazija Maribor,III. gimnazija Maribor,Podravska,Maribor,2020-09-21,2020-10-08,2020-10-01,SREDNJA ŠOLA,Okužba s Covid-19,dolgo,2020_40
Osnovna šola Antona Aškerca Rimske Toplice,Osnovna šola Antona Aškerca Rimske Toplice Podružnica Zidani Most,Savinjska,Laško,2020-09-28,2020-10-08,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Antona Aškerca Rimske Toplice,Osnovna šola Antona Aškerca Rimske Toplice,Savinjska,Laško,2020-09-30,2020-10-10,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Mislinja,Osnovna šola Mislinja,Koroška,Mislinja,2020-09-24,2020-09-30,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Antona Martina Slomška Vrhnika,Osnovna šola Antona Martina Slomška Vrhnika,Osrednjeslovenska,Vrhnika,2020-09-28,2020-09-30,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Gimnazija Škofja Loka,Gimnazija Škofja Loka,Gorenjska,Škofja Loka,2020-09-30,2020-10-01,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Šmarje pri Jelšah,Osnovna šola Šmarje pri Jelšah,Savinjska,Šmarje pri Jelšah,2020-09-22,2020-09-23,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Breg,Osnovna šola Breg,Podravska,Ptuj,2020-09-29,2020-10-08,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Vrtec Ciciban Novo mesto,"Vrtec Ciciban Novo mesto, Enota NAJDIHOJCA",Jugovzhodna Slovenija,Novo mesto,2020-10-01,2020-10-10,2020-10-01,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Koroška Bela Jesenice,Osnovna šola Koroška Bela Jesenice,Gorenjska,Jesenice,2020-10-01,2020-10-12,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Breg,Osnovna šola Breg,Podravska,Ptuj,2020-10-01,2020-10-10,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Zavod sv. Stanislava,"Zavod sv. Stanislava, Škofijska klasična gimnazija",Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-06,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Zasebni vrtec Viljem Julijan,Zasebni vrtec Viljem Julijan,Savinjska,Šentjur,2020-09-30,2020-10-08,2020-10-01,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Vodmat,Osnovna šola Vodmat,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-09,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Zasebni vrtec Viljem Julijan,Zasebni vrtec Viljem Julijan,Savinjska,Šentjur,2020-09-30,2020-10-10,2020-10-01,VRTEC,Sum na okužbo,srednje,2020_40
Osnovna šola Gorica Velenje,Osnovna šola Gorica Velenje,Savinjska,Velenje,2020-09-23,2020-10-01,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Primoža Trubarja Laško,Osnovna šola Primoža Trubarja Laško Podružnica Debro,Savinjska,Laško,2020-10-01,2020-10-11,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Šolski center Srečka Kosovela Sežana,"Šolski center Srečka Kosovela Sežana, Gimnazija in ekonomska šola",Obalno-kraška,Sežana,2020-10-01,2020-10-08,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja šola Domžale,"Srednja šola Domžale, Gimnazija",Osrednjeslovenska,Domžale,2020-09-22,2020-09-30,2020-10-01,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Frana Albrehta Kamnik,Osnovna šola Frana Albrehta Kamnik,Osrednjeslovenska,Kamnik,2020-10-01,2020-10-09,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Ekonomska šola Celje,"Ekonomska šola Celje, Gimnazija in srednja šola",Savinjska,Celje,2020-09-29,2020-10-01,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Ivana Cankarja Vrhnika,Osnovna šola Ivana Cankarja Vrhnika,Osrednjeslovenska,Vrhnika,2020-09-30,2020-10-14,2020-10-01,OSNOVNA ŠOLA,Okužba s Covid-19,dolgo,2020_40
Osnovna šola Center Novo mesto,"Osnovna šola Center Novo mesto, Podružnična šola Mali Slatnik",Jugovzhodna Slovenija,Novo mesto,2020-09-30,2020-10-10,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
II. gimnazija Maribor,II. gimnazija Maribor,Podravska,Maribor,2020-09-30,2020-09-30,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Glasbena šola Slovenske Konjice,Glasbena šola Slovenske Konjice,Savinjska,Slovenske Konjice,2020-09-28,2020-09-30,2020-10-01,GLASBENA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Toma Brejca Kamnik,Osnovna šola Toma Brejca Kamnik,Osrednjeslovenska,Kamnik,2020-10-01,2020-10-10,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Franceta Bevka Tolmin,Osnovna šola Franceta Bevka Tolmin,Goriška,Tolmin,2020-10-01,2020-10-11,2020-10-01,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Selnica ob Dravi,Osnovna šola Selnica ob Dravi,Podravska,Selnica ob Dravi,2020-09-30,2020-10-09,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Ekonomska šola Celje,"Ekonomska šola Celje, Gimnazija in srednja šola",Savinjska,Celje,2020-09-28,2020-09-30,2020-10-01,SREDNJA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Cvetka Golarja Škofja Loka,Osnovna šola Cvetka Golarja Škofja Loka,Gorenjska,Škofja Loka,2020-10-01,2020-10-10,2020-10-01,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Duplek,"Osnovna šola Duplek, Enota Vrtec",Podravska,Duplek,2020-09-24,2020-10-09,2020-10-01,VRTEC,Sum na okužbo,dolgo,2020_40
Vrtec Krško,"Vrtec Krško, enota Ciciban",Posavska,Krško,2020-10-01,2020-10-01,2020-10-01,VRTEC,Sum na okužbo,kratko,2020_40
