Sequence,Support,Relative Frequency
{srednje},3,1.0
{Okužba pri otroku / učencu / dijaku},3,1.0
{VRTEC},3,1.0
{OSNOVNA ŠOLA},3,1.0
{SREDNJA ŠOLA},3,1.0
{veliko},3,1.0
{Sum na okužbo pri zaposlenem},3,1.0
{dolgo},3,1.0
{malo},3,1.0
{Sum na okužbo pri otroku / učencu / dijaku},3,1.0
{Okužba pri zaposlenem},3,1.0
{kratko},3,1.0
"{kratko}, {srednje}",3,1.0
"{dolgo}, {malo}",3,1.0
"{kratko}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{SREDNJA ŠOLA}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {dolgo}",3,1.0
"{Okužba pri zaposlenem}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {VRTEC}",3,1.0
"{Okužba pri zaposlenem}, {VRTEC}",3,1.0
"{SREDNJA ŠOLA}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}",3,1.0
"{dolgo}, {srednje}",3,1.0
"{SREDNJA ŠOLA}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {srednje}",3,1.0
"{dolgo}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {srednje}",3,1.0
"{Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {malo}",3,1.0
"{dolgo}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri zaposlenem}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {kratko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{VRTEC}, {dolgo}",3,1.0
"{VRTEC}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",3,1.0
"{Sum na okužbo pri zaposlenem}, {kratko}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{malo}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}",3,1.0
"{VRTEC}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{VRTEC}, {veliko}",3,1.0
"{malo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}",3,1.0
"{VRTEC}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
