Sequence,Support,Relative Frequency
{kratko},11,0.9166666666666666
{malo},10,0.8333333333333334
{SREDNJA ŠOLA},11,0.9166666666666666
{veliko},11,0.9166666666666666
{srednje},12,1.0
{Okužba s Covid-19 pri učencu ali več učencih oddelka},12,1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka},11,0.9166666666666666
{OSNOVNA ŠOLA},12,1.0
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {kratko}",9,0.75
"{malo}, {srednje}",10,0.8333333333333334
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {srednje}",10,0.8333333333333334
"{srednje}, {veliko}",11,0.9166666666666666
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}",10,0.8333333333333334
"{SREDNJA ŠOLA}, {srednje}",10,0.8333333333333334
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {veliko}",9,0.75
"{SREDNJA ŠOLA}, {veliko}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}",10,0.8333333333333334
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {malo}",9,0.75
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{SREDNJA ŠOLA}, {malo}",9,0.75
"{kratko}, {srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {srednje}",12,1.0
"{OSNOVNA ŠOLA}, {kratko}",10,0.8333333333333334
"{kratko}, {veliko}",9,0.75
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {SREDNJA ŠOLA}",9,0.75
"{OSNOVNA ŠOLA}, {veliko}",11,0.9166666666666666
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",11,0.9166666666666666
"{kratko}, {malo}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",12,1.0
"{OSNOVNA ŠOLA}, {malo}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {malo}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",9,0.75
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {veliko}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}, {malo}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}, {srednje}",10,0.8333333333333334
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}",9,0.75
"{kratko}, {malo}, {srednje}",9,0.75
"{SREDNJA ŠOLA}, {malo}, {srednje}",9,0.75
"{kratko}, {srednje}, {veliko}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {malo}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {srednje}, {veliko}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",9,0.75
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {srednje}",9,0.75
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}, {malo}, {srednje}",9,0.75
"{OSNOVNA ŠOLA}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {SREDNJA ŠOLA}, {srednje}",9,0.75
