Sequence,Support,Relative Frequency
{10 days},7,0.6363636363636364
{5 days},6,0.5454545454545454
{7 days},6,0.5454545454545454
{Okužba s Covid-19 pri učitelju},6,0.5454545454545454
{9 days},7,0.6363636363636364
{malo},7,0.6363636363636364
{4. letnik},6,0.5454545454545454
{Okužba s Covid-19 pri učencu ali več učencih oddelka},9,0.8181818181818182
{srednje},10,0.9090909090909091
{1. razred},6,0.5454545454545454
{1. letnik},6,0.5454545454545454
{6 days},6,0.5454545454545454
{Okužba s Covid-19 pri vzgojitelju},6,0.5454545454545454
{veliko},7,0.6363636363636364
{zelo malo},7,0.6363636363636364
{2. star. obd.},7,0.6363636363636364
{Okužba s Covid-19 pri drugem strokovnem delavcu},8,0.7272727272727273
"{malo}, {10 days}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",8,0.7272727272727273
"{Okužba s Covid-19 pri učitelju, srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}",7,0.6363636363636364
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {2. star. obd.}",6,0.5454545454545454
"{9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{malo}, {zelo malo}",7,0.6363636363636364
"{10 days, 2. star. obd.}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",7,0.6363636363636364
"{10 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",7,0.6363636363636364
"{srednje}, {1. letnik}",6,0.5454545454545454
"{veliko}, {srednje}",6,0.5454545454545454
"{9 days}, {1. letnik}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {srednje}",8,0.7272727272727273
"{Okužba s Covid-19 pri drugem strokovnem delavcu, srednje}",6,0.5454545454545454
"{10 days, malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}",7,0.6363636363636364
"{srednje}, {9 days}",6,0.5454545454545454
"{srednje}, {1. razred}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}",6,0.5454545454545454
"{9 days}, {9 days}",6,0.5454545454545454
"{4. letnik}, {srednje}",6,0.5454545454545454
"{zelo malo}, {10 days}",6,0.5454545454545454
"{malo}, {2. star. obd.}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {2. star. obd.}",6,0.5454545454545454
"{veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{malo}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}",8,0.7272727272727273
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",7,0.6363636363636364
