Rule,Confidence
{malo} => {1. star. obd.},0.5
{malo} => {10 days},0.75
{Okužba s Covid-19 pri učitelju} => {4. razred},0.75
{zelo malo} => {7 days},0.5454545454545454
{malo} => {zelo malo},0.75
{Okužba s Covid-19 pri učitelju} => {9 days},0.75
{zelo malo} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},0.5454545454545454
{malo} => {srednje},0.5
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {zelo malo},0.8571428571428571
{2. razred} => {10 days},1.0
{10 days} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.6
{10 days} => {Komb. 1. in 2. star. obd.},0.8
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {9 days},0.8571428571428571
{2. star. obd.} => {1. star. obd.},0.875
{2. star. obd.} => {10 days},0.875
{Okužba s Covid-19 pri vzgojitelju} => {malo},0.875
{9 days} => {9 days},0.8
{zelo malo} => {1. star. obd.},0.6363636363636364
{zelo malo} => {10 days},0.9090909090909091
{malo} => {Okužba s Covid-19 pri učitelju},0.5
{2. star. obd.} => {zelo malo},0.875
{Okužba s Covid-19 pri učitelju} => {malo},0.875
{zelo malo} => {zelo malo},0.9090909090909091
{Komb. 1. in 2. star. obd.} => {malo},0.7272727272727273
{zelo malo} => {srednje},0.6363636363636364
{1. star. obd.} => {malo},0.8571428571428571
{1. star. obd.} => {2. star. obd.},0.8571428571428571
{10 days} => {Okužba s Covid-19 pri učencu ali več učencih oddelka},0.6
{Okužba s Covid-19 pri vzgojitelju} => {zelo malo},0.75
{4. razred} => {Komb. 1. in 2. star. obd.},0.8571428571428571
{9 days} => {malo},0.8
{Okužba s Covid-19 pri učitelju} => {zelo malo},0.875
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {1. star. obd.},0.8571428571428571
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {10 days},0.8571428571428571
{zelo malo} => {Okužba s Covid-19 pri učitelju},0.7272727272727273
{1. star. obd.} => {zelo malo},0.8571428571428571
{Komb. 1. in 2. star. obd.} => {9 days},0.6363636363636364
{malo} => {Komb. 1. in 2. star. obd.},0.5833333333333334
{9 days} => {zelo malo},0.8
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.8571428571428571
{Okužba s Covid-19 pri učitelju} => {Okužba s Covid-19 pri učitelju},0.875
{9 days} => {srednje},0.6
{4. razred} => {Okužba s Covid-19 pri učencu ali več učencih oddelka},0.8571428571428571
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {Komb. 1. in 2. star. obd.},0.8571428571428571
{Komb. 1. in 2. star. obd.} => {Okužba s Covid-19 pri otroku ali več otrocih skupine},0.5454545454545454
{10 days} => {4. razred},0.7
{Komb. 1. in 2. star. obd.} => {2. star. obd.},0.5454545454545454
{3. razred} => {9 days},1.0
{Okužba s Covid-19 pri vzgojitelju} => {1. star. obd.},0.75
{Okužba s Covid-19 pri vzgojitelju} => {10 days},0.75
{2. star. obd.} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.875
{2. star. obd.} => {Komb. 1. in 2. star. obd.},0.75
{9 days} => {Okužba s Covid-19 pri učitelju},0.6
{Okužba s Covid-19 pri učitelju} => {10 days},0.875
{zelo malo} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.6363636363636364
{malo} => {Okužba s Covid-19 pri učencu ali več učencih oddelka},0.5
{zelo malo} => {Komb. 1. in 2. star. obd.},0.7272727272727273
{Komb. 1. in 2. star. obd.} => {1. star. obd.},0.5454545454545454
{Komb. 1. in 2. star. obd.} => {10 days},0.6363636363636364
{1. star. obd.} => {10 days},0.8571428571428571
{Komb. 1. in 2. star. obd.} => {zelo malo},0.7272727272727273
{10 days} => {malo},0.8
{10 days} => {2. star. obd.},0.6
{Okužba s Covid-19 pri vzgojitelju} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.75
{zelo malo} => {Okužba s Covid-19 pri vzgojitelju},0.5454545454545454
{10 days} => {2. razred},0.6
{9 days} => {10 days},0.8
{Okužba s Covid-19 pri učitelju} => {Komb. 1. in 2. star. obd.},0.75
{zelo malo} => {4. razred},0.6363636363636364
{1. star. obd.} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.8571428571428571
{4. razred} => {9 days},1.0
{zelo malo} => {Okužba s Covid-19 pri učencu ali več učencih oddelka},0.5454545454545454
{Komb. 1. in 2. star. obd.} => {Okužba s Covid-19 pri učitelju},0.5454545454545454
{3. razred} => {zelo malo},1.0
{10 days} => {zelo malo},0.9
{10 days} => {srednje},0.6
{10 days} => {9 days},0.8
{9 days} => {Komb. 1. in 2. star. obd.},0.6
{2. star. obd.} => {malo},1.0
{2. star. obd.} => {2. star. obd.},0.75
{malo} => {9 days},0.6666666666666666
{zelo malo} => {malo},1.0
{zelo malo} => {2. star. obd.},0.6363636363636364
{zelo malo} => {2. razred},0.5454545454545454
{2. razred} => {zelo malo},1.0
{10 days} => {Okužba s Covid-19 pri učitelju},0.7
{2. razred} => {9 days},1.0
{Okužba s Covid-19 pri otroku ali več otrocih skupine} => {malo},1.0
{4. razred} => {10 days},0.8571428571428571
{2. star. obd.} => {9 days},0.75
{4. razred} => {zelo malo},1.0
{malo} => {malo},0.5
{Komb. 1. in 2. star. obd.} => {Okužba s Covid-19 pri drugem strokovnem delavcu},0.6363636363636364
{Okužba s Covid-19 pri učitelju} => {2. razred},0.75
{malo} => {2. star. obd.},0.5
{zelo malo} => {9 days},0.9090909090909091
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {malo},1.0
{2. razred} => {Okužba s Covid-19 pri učitelju},1.0
{10 days} => {1. star. obd.},0.6
{10 days} => {10 days},0.9
{Okužba s Covid-19 pri drugem strokovnem delavcu} => {2. star. obd.},0.8571428571428571
"{zelo malo} => {10 days}, {srednje}",0.5454545454545454
"{zelo malo}, {10 days} => {srednje}",0.6
