Sequence,Support,Relative Frequency
{malo},9,0.9
{VRTEC},10,1.0
{OSNOVNA ŠOLA},9,0.9
{Okužba s Covid-19 pri vzgojitelju},9,0.9
{srednje},10,1.0
"{OSNOVNA ŠOLA}, {srednje}",9,0.9
"{VRTEC, srednje}",10,1.0
"{OSNOVNA ŠOLA, srednje}",9,0.9
"{Okužba s Covid-19 pri vzgojitelju, VRTEC}",9,0.9
"{srednje}, {VRTEC}",10,1.0
"{srednje}, {srednje}",10,1.0
"{OSNOVNA ŠOLA}, {VRTEC}",9,0.9
"{Okužba s Covid-19 pri vzgojitelju, srednje}",9,0.9
"{srednje}, {VRTEC, srednje}",10,1.0
"{OSNOVNA ŠOLA}, {VRTEC, srednje}",9,0.9
"{Okužba s Covid-19 pri vzgojitelju, VRTEC, srednje}",9,0.9
"{OSNOVNA ŠOLA, srednje}, {VRTEC}",9,0.9
"{OSNOVNA ŠOLA, srednje}, {srednje}",9,0.9
"{OSNOVNA ŠOLA, srednje}, {VRTEC, srednje}",9,0.9
