Rule,Confidence
{Okužba s Covid-19} => {VRTEC},1.0
{VRTEC} => {Okužba s Covid-19},1.0
{SREDNJA ŠOLA} => {VRTEC},1.0
{VRTEC} => {SREDNJA ŠOLA},1.0
{GLASBENA ŠOLA} => {VRTEC},1.0
{VRTEC} => {GLASBENA ŠOLA},1.0
{Okužba s Covid-19} => {kratko},1.0
{kratko} => {Okužba s Covid-19},1.0
{OSNOVNA ŠOLA} => {SREDNJA ŠOLA},1.0
{SREDNJA ŠOLA} => {OSNOVNA ŠOLA},1.0
{GLASBENA ŠOLA} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {GLASBENA ŠOLA},1.0
{Okužba s Covid-19} => {srednje},1.0
{srednje} => {Okužba s Covid-19},1.0
{GLASBENA ŠOLA} => {kratko},1.0
{kratko} => {GLASBENA ŠOLA},1.0
{Sum na okužbo} => {dolgo},1.0
{dolgo} => {Sum na okužbo},1.0
{SREDNJA ŠOLA} => {kratko},1.0
{kratko} => {SREDNJA ŠOLA},1.0
{VRTEC} => {dolgo},1.0
{dolgo} => {VRTEC},1.0
{kratko} => {srednje},1.0
{srednje} => {kratko},1.0
{GLASBENA ŠOLA} => {srednje},1.0
{srednje} => {GLASBENA ŠOLA},1.0
{dolgo} => {kratko},1.0
{kratko} => {dolgo},1.0
{SREDNJA ŠOLA} => {srednje},1.0
{srednje} => {SREDNJA ŠOLA},1.0
{dolgo} => {srednje},1.0
{srednje} => {dolgo},1.0
{Okužba s Covid-19} => {SREDNJA ŠOLA},1.0
{SREDNJA ŠOLA} => {Okužba s Covid-19},1.0
{OSNOVNA ŠOLA} => {dolgo},1.0
{dolgo} => {OSNOVNA ŠOLA},1.0
{OSNOVNA ŠOLA} => {Sum na okužbo},1.0
{Sum na okužbo} => {OSNOVNA ŠOLA},1.0
{GLASBENA ŠOLA} => {SREDNJA ŠOLA},1.0
{SREDNJA ŠOLA} => {GLASBENA ŠOLA},1.0
{Sum na okužbo} => {VRTEC},1.0
{VRTEC} => {Sum na okužbo},1.0
{VRTEC} => {kratko},1.0
{kratko} => {VRTEC},1.0
{Sum na okužbo} => {kratko},1.0
{kratko} => {Sum na okužbo},1.0
{Okužba s Covid-19} => {dolgo},1.0
{dolgo} => {Okužba s Covid-19},1.0
{OSNOVNA ŠOLA} => {VRTEC},1.0
{VRTEC} => {OSNOVNA ŠOLA},1.0
{Okužba s Covid-19} => {Sum na okužbo},1.0
{Sum na okužbo} => {Okužba s Covid-19},1.0
{VRTEC} => {srednje},1.0
{srednje} => {VRTEC},1.0
{Sum na okužbo} => {srednje},1.0
{srednje} => {Sum na okužbo},1.0
{GLASBENA ŠOLA} => {dolgo},1.0
{dolgo} => {GLASBENA ŠOLA},1.0
{SREDNJA ŠOLA} => {dolgo},1.0
{dolgo} => {SREDNJA ŠOLA},1.0
{OSNOVNA ŠOLA} => {kratko},1.0
{kratko} => {OSNOVNA ŠOLA},1.0
{OSNOVNA ŠOLA} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {OSNOVNA ŠOLA},1.0
{SREDNJA ŠOLA} => {Sum na okužbo},1.0
{Sum na okužbo} => {SREDNJA ŠOLA},1.0
{GLASBENA ŠOLA} => {Sum na okužbo},1.0
{Sum na okužbo} => {GLASBENA ŠOLA},1.0
{OSNOVNA ŠOLA} => {srednje},1.0
{srednje} => {OSNOVNA ŠOLA},1.0
"{OSNOVNA ŠOLA} => {SREDNJA ŠOLA}, {dolgo}",1.0
"{SREDNJA ŠOLA} => {OSNOVNA ŠOLA}, {dolgo}",1.0
"{dolgo} => {OSNOVNA ŠOLA}, {SREDNJA ŠOLA}",1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA} => {dolgo}",1.0
"{OSNOVNA ŠOLA}, {dolgo} => {SREDNJA ŠOLA}",1.0
"{SREDNJA ŠOLA}, {dolgo} => {OSNOVNA ŠOLA}",1.0
"{GLASBENA ŠOLA} => {VRTEC}, {kratko}",1.0
"{VRTEC} => {GLASBENA ŠOLA}, {kratko}",1.0
"{kratko} => {GLASBENA ŠOLA}, {VRTEC}",1.0
"{GLASBENA ŠOLA}, {VRTEC} => {kratko}",1.0
"{GLASBENA ŠOLA}, {kratko} => {VRTEC}",1.0
"{VRTEC}, {kratko} => {GLASBENA ŠOLA}",1.0
"{OSNOVNA ŠOLA} => {Sum na okužbo}, {srednje}",1.0
"{Sum na okužbo} => {OSNOVNA ŠOLA}, {srednje}",1.0
"{srednje} => {OSNOVNA ŠOLA}, {Sum na okužbo}",1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {srednje}",1.0
"{OSNOVNA ŠOLA}, {srednje} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {srednje} => {OSNOVNA ŠOLA}",1.0
"{Okužba s Covid-19} => {Sum na okužbo}, {srednje}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {srednje} => {Okužba s Covid-19}",1.0
"{GLASBENA ŠOLA} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo} => {GLASBENA ŠOLA}, {kratko}",1.0
"{kratko} => {GLASBENA ŠOLA}, {Sum na okužbo}",1.0
"{GLASBENA ŠOLA}, {Sum na okužbo} => {kratko}",1.0
"{GLASBENA ŠOLA}, {kratko} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {kratko} => {GLASBENA ŠOLA}",1.0
"{Okužba s Covid-19} => {VRTEC}, {srednje}",1.0
"{VRTEC} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {VRTEC}",1.0
"{Okužba s Covid-19}, {VRTEC} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {VRTEC}",1.0
"{VRTEC}, {srednje} => {Okužba s Covid-19}",1.0
"{SREDNJA ŠOLA} => {VRTEC}, {kratko}",1.0
"{VRTEC} => {SREDNJA ŠOLA}, {kratko}",1.0
