Rule,Confidence
{Okužba s Covid-19} => {OSNOVNA ŠOLA},0.6363636363636364
{OSNOVNA ŠOLA} => {Okužba s Covid-19},0.6222222222222222
{Sum na okužbo} => {srednje trajanje},0.8378378378378378
{OSNOVNA ŠOLA} => {srednje trajanje},0.8666666666666667
{srednje trajanje} => {OSNOVNA ŠOLA},0.5492957746478874
{Okužba s Covid-19} => {srednje trajanje},0.9090909090909091
{srednje trajanje} => {Okužba s Covid-19},0.5633802816901409
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {srednje trajanje}",0.6
"{Okužba s Covid-19} => {OSNOVNA ŠOLA}, {srednje trajanje}",0.6136363636363636
"{srednje trajanje}, {OSNOVNA ŠOLA} => {Okužba s Covid-19}",0.6923076923076923
"{srednje trajanje}, {Okužba s Covid-19} => {OSNOVNA ŠOLA}",0.675
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {srednje trajanje}",0.9642857142857143
"{Okužba s Covid-19}, {OSNOVNA ŠOLA} => {srednje trajanje}",0.9642857142857143
"{Okužba s Covid-19}, {srednje trajanje} => {OSNOVNA ŠOLA}",0.675
"{OSNOVNA ŠOLA}, {srednje trajanje} => {Okužba s Covid-19}",0.6923076923076923
