Sequence,Support,Relative Frequency
{Učitelj},3,1.0
{kratko},3,1.0
{Okužba s Covid-19},3,1.0
{Sum na okužbo},3,1.0
{srednje},3,1.0
{Drugi strokovni delavec},3,1.0
{dolgo},3,1.0
{Drugi delavci},3,1.0
{Vzgojitelj},3,1.0
"{Sum na okužbo}, {srednje}",3,1.0
"{Drugi strokovni delavec}, {Sum na okužbo}",3,1.0
"{Drugi strokovni delavec}, {srednje}",3,1.0
"{Okužba s Covid-19}, {srednje}",3,1.0
"{Okužba s Covid-19}, {Sum na okužbo}",3,1.0
"{Drugi delavci}, {Vzgojitelj}",3,1.0
"{Drugi delavci}, {Okužba s Covid-19}",3,1.0
"{Drugi delavci}, {kratko}",3,1.0
"{Drugi strokovni delavec}, {Učitelj}",3,1.0
"{Sum na okužbo}, {Učitelj}",3,1.0
"{Drugi delavci}, {dolgo}",3,1.0
"{Okužba s Covid-19}, {Učitelj}",3,1.0
"{dolgo}, {kratko}",3,1.0
"{Drugi delavci}, {srednje}",3,1.0
"{Drugi delavci}, {Drugi strokovni delavec}",3,1.0
"{Drugi delavci}, {Sum na okužbo}",3,1.0
"{Učitelj}, {Vzgojitelj}",3,1.0
"{Sum na okužbo}, {Vzgojitelj}",3,1.0
"{Vzgojitelj}, {kratko}",3,1.0
"{dolgo}, {srednje}",3,1.0
"{Učitelj}, {kratko}",3,1.0
"{kratko}, {srednje}",3,1.0
"{Drugi strokovni delavec}, {Vzgojitelj}",3,1.0
"{Drugi delavci}, {Učitelj}",3,1.0
"{Vzgojitelj}, {dolgo}",3,1.0
"{Okužba s Covid-19}, {Vzgojitelj}",3,1.0
"{Učitelj}, {dolgo}",3,1.0
"{Sum na okužbo}, {kratko}",3,1.0
"{Drugi strokovni delavec}, {Okužba s Covid-19}",3,1.0
"{Drugi strokovni delavec}, {kratko}",3,1.0
"{Drugi strokovni delavec}, {dolgo}",3,1.0
"{Sum na okužbo}, {dolgo}",3,1.0
"{Okužba s Covid-19}, {kratko}",3,1.0
"{Vzgojitelj}, {srednje}",3,1.0
"{Okužba s Covid-19}, {dolgo}",3,1.0
"{Učitelj}, {srednje}",3,1.0
"{Drugi delavci}, {Okužba s Covid-19}, {srednje}",3,1.0
