Rule,Confidence
{Sum na okužbo} => {srednje},1.0
{srednje} => {Sum na okužbo},1.0
{Drugi strokovni delavec} => {Sum na okužbo},1.0
{Sum na okužbo} => {Drugi strokovni delavec},1.0
{Drugi strokovni delavec} => {srednje},1.0
{srednje} => {Drugi strokovni delavec},1.0
{Okužba s Covid-19} => {srednje},1.0
{srednje} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {Sum na okužbo},1.0
{Sum na okužbo} => {Okužba s Covid-19},1.0
{Drugi delavci} => {Vzgojitelj},1.0
{Vzgojitelj} => {Drugi delavci},1.0
{Drugi delavci} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {Drugi delavci},1.0
{Drugi delavci} => {kratko},1.0
{kratko} => {Drugi delavci},1.0
{Drugi strokovni delavec} => {Učitelj},1.0
{Učitelj} => {Drugi strokovni delavec},1.0
{Sum na okužbo} => {Učitelj},1.0
{Učitelj} => {Sum na okužbo},1.0
{Drugi delavci} => {dolgo},1.0
{dolgo} => {Drugi delavci},1.0
{Okužba s Covid-19} => {Učitelj},1.0
{Učitelj} => {Okužba s Covid-19},1.0
{dolgo} => {kratko},1.0
{kratko} => {dolgo},1.0
{Drugi delavci} => {srednje},1.0
{srednje} => {Drugi delavci},1.0
{Drugi delavci} => {Drugi strokovni delavec},1.0
{Drugi strokovni delavec} => {Drugi delavci},1.0
{Drugi delavci} => {Sum na okužbo},1.0
{Sum na okužbo} => {Drugi delavci},1.0
{Učitelj} => {Vzgojitelj},1.0
{Vzgojitelj} => {Učitelj},1.0
{Sum na okužbo} => {Vzgojitelj},1.0
{Vzgojitelj} => {Sum na okužbo},1.0
{Vzgojitelj} => {kratko},1.0
{kratko} => {Vzgojitelj},1.0
{dolgo} => {srednje},1.0
{srednje} => {dolgo},1.0
{Učitelj} => {kratko},1.0
{kratko} => {Učitelj},1.0
{kratko} => {srednje},1.0
{srednje} => {kratko},1.0
{Drugi strokovni delavec} => {Vzgojitelj},1.0
{Vzgojitelj} => {Drugi strokovni delavec},1.0
{Drugi delavci} => {Učitelj},1.0
{Učitelj} => {Drugi delavci},1.0
{Vzgojitelj} => {dolgo},1.0
{dolgo} => {Vzgojitelj},1.0
{Okužba s Covid-19} => {Vzgojitelj},1.0
{Vzgojitelj} => {Okužba s Covid-19},1.0
{Učitelj} => {dolgo},1.0
{dolgo} => {Učitelj},1.0
{Sum na okužbo} => {kratko},1.0
{kratko} => {Sum na okužbo},1.0
{Drugi strokovni delavec} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {Drugi strokovni delavec},1.0
{Drugi strokovni delavec} => {kratko},1.0
{kratko} => {Drugi strokovni delavec},1.0
{Drugi strokovni delavec} => {dolgo},1.0
{dolgo} => {Drugi strokovni delavec},1.0
{Sum na okužbo} => {dolgo},1.0
{dolgo} => {Sum na okužbo},1.0
{Okužba s Covid-19} => {kratko},1.0
{kratko} => {Okužba s Covid-19},1.0
{Vzgojitelj} => {srednje},1.0
{srednje} => {Vzgojitelj},1.0
{Okužba s Covid-19} => {dolgo},1.0
{dolgo} => {Okužba s Covid-19},1.0
{Učitelj} => {srednje},1.0
{srednje} => {Učitelj},1.0
"{Drugi delavci} => {Okužba s Covid-19}, {srednje}",1.0
"{Okužba s Covid-19} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {Okužba s Covid-19}",1.0
"{Drugi delavci}, {Okužba s Covid-19} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {srednje} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Sum na okužbo}, {srednje}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {Sum na okužbo}",1.0
"{Okužba s Covid-19}, {Sum na okužbo} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {srednje} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {Učitelj}, {srednje}",1.0
"{Učitelj} => {Drugi strokovni delavec}, {srednje}",1.0
"{srednje} => {Drugi strokovni delavec}, {Učitelj}",1.0
"{Drugi strokovni delavec}, {Učitelj} => {srednje}",1.0
"{Drugi strokovni delavec}, {srednje} => {Učitelj}",1.0
"{Učitelj}, {srednje} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec} => {Vzgojitelj}, {srednje}",1.0
"{Vzgojitelj} => {Drugi strokovni delavec}, {srednje}",1.0
"{srednje} => {Drugi strokovni delavec}, {Vzgojitelj}",1.0
"{Drugi strokovni delavec}, {Vzgojitelj} => {srednje}",1.0
"{Drugi strokovni delavec}, {srednje} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {srednje} => {Drugi strokovni delavec}",1.0
"{Sum na okužbo} => {Vzgojitelj}, {srednje}",1.0
"{Vzgojitelj} => {Sum na okužbo}, {srednje}",1.0
"{srednje} => {Sum na okužbo}, {Vzgojitelj}",1.0
"{Sum na okužbo}, {Vzgojitelj} => {srednje}",1.0
"{Sum na okužbo}, {srednje} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {srednje} => {Sum na okužbo}",1.0
"{Drugi delavci} => {Učitelj}, {kratko}",1.0
"{Učitelj} => {Drugi delavci}, {kratko}",1.0
"{kratko} => {Drugi delavci}, {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {kratko}",1.0
"{Drugi delavci}, {kratko} => {Učitelj}",1.0
"{Učitelj}, {kratko} => {Drugi delavci}",1.0
"{Drugi delavci} => {dolgo}, {srednje}",1.0
"{dolgo} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {dolgo}",1.0
"{Drugi delavci}, {dolgo} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Učitelj}, {kratko}",1.0
"{Učitelj} => {Okužba s Covid-19}, {kratko}",1.0
"{kratko} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19}, {Učitelj} => {kratko}",1.0
"{Okužba s Covid-19}, {kratko} => {Učitelj}",1.0
"{Učitelj}, {kratko} => {Okužba s Covid-19}",1.0
"{Drugi strokovni delavec} => {dolgo}, {kratko}",1.0
"{dolgo} => {Drugi strokovni delavec}, {kratko}",1.0
"{kratko} => {Drugi strokovni delavec}, {dolgo}",1.0
"{Drugi strokovni delavec}, {dolgo} => {kratko}",1.0
"{Drugi strokovni delavec}, {kratko} => {dolgo}",1.0
"{dolgo}, {kratko} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {Vzgojitelj}, {kratko}",1.0
"{Vzgojitelj} => {Drugi delavci}, {kratko}",1.0
"{kratko} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {kratko}",1.0
"{Drugi delavci}, {kratko} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {kratko} => {Drugi delavci}",1.0
"{Drugi delavci} => {Drugi strokovni delavec}, {Vzgojitelj}",1.0
"{Drugi strokovni delavec} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Drugi delavci}, {Drugi strokovni delavec}",1.0
"{Drugi delavci}, {Drugi strokovni delavec} => {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec}, {Vzgojitelj} => {Drugi delavci}",1.0
"{Drugi delavci} => {Vzgojitelj}, {dolgo}",1.0
"{Vzgojitelj} => {Drugi delavci}, {dolgo}",1.0
"{dolgo} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {dolgo}",1.0
"{Drugi delavci}, {dolgo} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {dolgo} => {Drugi delavci}",1.0
"{Sum na okužbo} => {Učitelj}, {Vzgojitelj}",1.0
"{Učitelj} => {Sum na okužbo}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo}, {Učitelj} => {Vzgojitelj}",1.0
"{Sum na okužbo}, {Vzgojitelj} => {Učitelj}",1.0
"{Učitelj}, {Vzgojitelj} => {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {dolgo}, {srednje}",1.0
"{dolgo} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {dolgo}",1.0
"{Okužba s Covid-19}, {dolgo} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {Okužba s Covid-19}",1.0
"{Sum na okužbo} => {Učitelj}, {kratko}",1.0
"{Učitelj} => {Sum na okužbo}, {kratko}",1.0
"{kratko} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo}, {Učitelj} => {kratko}",1.0
"{Sum na okužbo}, {kratko} => {Učitelj}",1.0
"{Učitelj}, {kratko} => {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {Vzgojitelj}, {kratko}",1.0
"{Vzgojitelj} => {Okužba s Covid-19}, {kratko}",1.0
"{kratko} => {Okužba s Covid-19}, {Vzgojitelj}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {kratko}",1.0
"{Okužba s Covid-19}, {kratko} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {kratko} => {Okužba s Covid-19}",1.0
"{Drugi delavci} => {Vzgojitelj}, {srednje}",1.0
"{Vzgojitelj} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {srednje} => {Drugi delavci}",1.0
"{Sum na okužbo} => {Učitelj}, {dolgo}",1.0
"{Učitelj} => {Sum na okužbo}, {dolgo}",1.0
"{dolgo} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo}, {Učitelj} => {dolgo}",1.0
"{Sum na okužbo}, {dolgo} => {Učitelj}",1.0
"{Učitelj}, {dolgo} => {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {Vzgojitelj}, {dolgo}",1.0
"{Vzgojitelj} => {Okužba s Covid-19}, {dolgo}",1.0
"{dolgo} => {Okužba s Covid-19}, {Vzgojitelj}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {dolgo}",1.0
"{Okužba s Covid-19}, {dolgo} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {dolgo} => {Okužba s Covid-19}",1.0
"{Vzgojitelj} => {dolgo}, {srednje}",1.0
"{dolgo} => {Vzgojitelj}, {srednje}",1.0
"{srednje} => {Vzgojitelj}, {dolgo}",1.0
"{Vzgojitelj}, {dolgo} => {srednje}",1.0
"{Vzgojitelj}, {srednje} => {dolgo}",1.0
"{dolgo}, {srednje} => {Vzgojitelj}",1.0
"{Drugi strokovni delavec} => {kratko}, {srednje}",1.0
"{kratko} => {Drugi strokovni delavec}, {srednje}",1.0
"{srednje} => {Drugi strokovni delavec}, {kratko}",1.0
"{Drugi strokovni delavec}, {kratko} => {srednje}",1.0
"{Drugi strokovni delavec}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec} => {Sum na okužbo}, {kratko}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {kratko}",1.0
"{kratko} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {kratko}",1.0
"{Drugi strokovni delavec}, {kratko} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {kratko} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {Drugi strokovni delavec}, {srednje}",1.0
"{Drugi strokovni delavec} => {Drugi delavci}, {srednje}",1.0
"{srednje} => {Drugi delavci}, {Drugi strokovni delavec}",1.0
"{Drugi delavci}, {Drugi strokovni delavec} => {srednje}",1.0
"{Drugi delavci}, {srednje} => {Drugi strokovni delavec}",1.0
"{Drugi strokovni delavec}, {srednje} => {Drugi delavci}",1.0
"{Drugi strokovni delavec} => {Sum na okužbo}, {dolgo}",1.0
"{Sum na okužbo} => {Drugi strokovni delavec}, {dolgo}",1.0
"{dolgo} => {Drugi strokovni delavec}, {Sum na okužbo}",1.0
"{Drugi strokovni delavec}, {Sum na okužbo} => {dolgo}",1.0
"{Drugi strokovni delavec}, {dolgo} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {dolgo} => {Drugi strokovni delavec}",1.0
"{Drugi delavci} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo} => {Drugi delavci}, {Učitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Sum na okužbo}",1.0
"{Drugi delavci}, {Sum na okužbo} => {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Sum na okužbo}",1.0
"{Sum na okužbo}, {Učitelj} => {Drugi delavci}",1.0
"{Sum na okužbo} => {Učitelj}, {srednje}",1.0
"{Učitelj} => {Sum na okužbo}, {srednje}",1.0
"{srednje} => {Sum na okužbo}, {Učitelj}",1.0
"{Sum na okužbo}, {Učitelj} => {srednje}",1.0
"{Sum na okužbo}, {srednje} => {Učitelj}",1.0
"{Učitelj}, {srednje} => {Sum na okužbo}",1.0
"{Okužba s Covid-19} => {Vzgojitelj}, {srednje}",1.0
"{Vzgojitelj} => {Okužba s Covid-19}, {srednje}",1.0
"{srednje} => {Okužba s Covid-19}, {Vzgojitelj}",1.0
"{Okužba s Covid-19}, {Vzgojitelj} => {srednje}",1.0
"{Okužba s Covid-19}, {srednje} => {Vzgojitelj}",1.0
"{Vzgojitelj}, {srednje} => {Okužba s Covid-19}",1.0
"{Drugi delavci} => {Učitelj}, {Vzgojitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Vzgojitelj}",1.0
"{Vzgojitelj} => {Drugi delavci}, {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Vzgojitelj}",1.0
"{Drugi delavci}, {Vzgojitelj} => {Učitelj}",1.0
"{Učitelj}, {Vzgojitelj} => {Drugi delavci}",1.0
"{Učitelj} => {kratko}, {srednje}",1.0
"{kratko} => {Učitelj}, {srednje}",1.0
"{srednje} => {Učitelj}, {kratko}",1.0
"{Učitelj}, {kratko} => {srednje}",1.0
"{Učitelj}, {srednje} => {kratko}",1.0
"{kratko}, {srednje} => {Učitelj}",1.0
"{Drugi delavci} => {Okužba s Covid-19}, {Učitelj}",1.0
"{Okužba s Covid-19} => {Drugi delavci}, {Učitelj}",1.0
"{Učitelj} => {Drugi delavci}, {Okužba s Covid-19}",1.0
"{Drugi delavci}, {Okužba s Covid-19} => {Učitelj}",1.0
"{Drugi delavci}, {Učitelj} => {Okužba s Covid-19}",1.0
"{Okužba s Covid-19}, {Učitelj} => {Drugi delavci}",1.0
"{Okužba s Covid-19} => {Sum na okužbo}, {Učitelj}",1.0
