Sequence,Support,Relative Frequency
{Okužba s Covid-19},12,1.0
{Drugi strokovni delavec},11,0.9166666666666666
{kratko},12,1.0
{Drugi delavci},11,0.9166666666666666
{Sum na okužbo},12,1.0
{Vzgojitelj},11,0.9166666666666666
{Učitelj},12,1.0
{srednje},12,1.0
"{Okužba s Covid-19}, {Sum na okužbo}",11,0.9166666666666666
"{Sum na okužbo}, {srednje}",12,1.0
"{Učitelj}, {srednje}",12,1.0
"{Sum na okužbo}, {Učitelj}",12,1.0
"{Drugi strokovni delavec}, {srednje}",11,0.9166666666666666
"{Drugi strokovni delavec}, {Okužba s Covid-19}",11,0.9166666666666666
"{Okužba s Covid-19}, {Učitelj}",12,1.0
"{Drugi delavci}, {Učitelj}",11,0.9166666666666666
"{Drugi delavci}, {srednje}",11,0.9166666666666666
"{Okužba s Covid-19}, {srednje}",12,1.0
"{Drugi delavci}, {Okužba s Covid-19}",11,0.9166666666666666
"{Okužba s Covid-19}, {kratko}",11,0.9166666666666666
"{Okužba s Covid-19}, {Učitelj}, {srednje}",12,1.0
